Aston Villa,Tottenham,2,3,4,10,0,0
Arsenal,Newcastle,4,0,7,2,0,0
Chelsea,Man United,0,2,1,3,0,0
Man City,West Ham,2,0,7,0,0,0
Chelsea,Tottenham,2,1,7,3,0,0
Burnley,Bournemouth,3,0,10,4,0,0
Crystal Palace,Newcastle,1,0,9,2,0,1
Sheffield United,Brighton,1,1,3,2,0,0
Southampton,Aston Villa,2,0,9,1,0,0
Leicester,Man City,0,1,3,7,0,0
Man United,Watford,3,0,9,2,0,0
Wolves,Norwich,3,0,6,4,0,0
Arsenal,Everton,3,2,4,5,0,0
Liverpool,West Ham,3,2,7,4,0,0
Norwich,Leicester,1,0,6,4,0,0
Brighton,Crystal Palace,0,1,8,3,0,0
Bournemouth,Chelsea,2,2,5,6,0,0
Newcastle,Burnley,0,0,4,1,0,0
West Ham,Southampton,3,1,7,2,0,0
Watford,Liverpool,3,0,5,1,0,0
Everton,Man United,1,1,5,5,0,0
Tottenham,Wolves,2,3,5,4,0,0
Liverpool,Bournemouth,2,1,6,4,0,0
Arsenal,West Ham,1,0,2,6,0,0
Crystal Palace,Watford,1,0,3,4,0,0
Sheffield United,Norwich,1,0,4,5,0,0
Southampton,Newcastle,0,1,3,7,1,0
Wolves,Brighton,0,0,1,1,0,0
Burnley,Tottenham,1,1,8,2,0,0
Chelsea,Everton,4,0,11,1,0,0
Man United,Man City,2,0,6,2,0,0
Leicester,Aston Villa,4,0,7,1,0,0
